Episode,Character,Line
Space Pilot 3000,Leela, ...great-great-great-great-great nephew.
Space Pilot 3000,Fry, That's great! What's the little guy's name?
Space Pilot 3000,Leela, Professor Hubert Farnsworth.
Space Pilot 3000,Fry, Eurgh!
Space Pilot 3000,Fry," Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser. [A buzzer buzzes.] What's that?"
Space Pilot 3000,Leela, Your permanent career assignment.
Space Pilot 3000,Fry, Delivery boy? No! Not again! Please! Anything else!
Space Pilot 3000,Leela, Take your hands off me! You've been assigned the job you're best at just like everyone else.
Space Pilot 3000,Fry, What if I refuse?
Space Pilot 3000,Leela, Then you'll be fired--
Space Pilot 3000,Fry, Fine!
Space Pilot 3000,Leela, Out of a cannon into the Sun!
Space Pilot 3000,Fry, But I don't like being a delivery boy.
Space Pilot 3000,Leela," Well that's tough! Lots of people don't like their jobs but we do them anyway. [She points at a poster of a man wearing a hardhat with the caption ""You Gotta Do What You Gotta Do"".] You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy."
Space Pilot 3000,Fry, Keep that thing away from me!
Space Pilot 3000,Leela," Hold still, dammit. I don't have good depth perception! [She jumps at Fry, misses, and falls into a cryogenic freezer. It sets itself for 1000 years.] You've got until the count of five to let me out of here. One--"
Space Pilot 3000,Fry, See you in a thousand years! [He starts to walk out but hesitates. He walks back and changes the freeze time to five minutes.] You owe me one.
Space Pilot 3000,Fry, Whoa!
Space Pilot 3000,Man #1, JFK Jr. Airport.
Space Pilot 3000,Man #1, Radio City Mutant Hall.
Space Pilot 3000,Fry, Cool! [He steps into the tube.] Um. Cross Town Express?
Space Pilot 3000,Man #2, Pft! Tourist!
Space Pilot 3000,Fry," Hey! A phone booth! I can call my nephew. [An impatient robot joins the queue behind him. It is more or less human-shaped, grey, with an antenna on top of its head.] Wow! A real live robot! Or is that some kind of cheesy New Year's costume?"
Space Pilot 3000,Bender, Bite my shiny metal ass.
Space Pilot 3000,Fry, It doesn't look so shiny to me.
Space Pilot 3000,Bender," Shinier than yours, meatbag!"
Space Pilot 3000,Bender," Listen, buddy, I'm in a hurry here. Let's try for a two-fer!"
Space Pilot 3000,Booth Voice," Please select mode of death  ""Quick and Painless"" or ""Slow and Horrible""."
Space Pilot 3000,Fry," Yeah, I'd like to place a collect call."
Space Pilot 3000,Booth Voice," You have selected  ""Slow and Horrible""."
Space Pilot 3000,Bender," Great choice! [Knives, tasers and Jacob's Ladders come out from behind a hatch.] Bring it on, baby!"
Space Pilot 3000,Bender," C'mon, c'mon! Kill me already! By the way, my name's Bender!"
Space Pilot 3000,Fry, Help! What's happening?
Space Pilot 3000,Booth Voice," You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008."
Space Pilot 3000,Bender," Lousy, stinking rip-off! [He kicks the booth.] Well, I didn't have anything else planned for today. Let's go get drunk!"
Space Pilot 3000,Leela," Two, three-- Hey!"
Space Pilot 3000,Terry, [melodramatically] Welcome to the world of tomorrow!
Space Pilot 3000,Leela," Shut up, Terry."
Space Pilot 3000,Ipgee," This is unacceptable, Leela. You must find this Mr. Fry and install his chip."
Space Pilot 3000,Leela," Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him."
Space Pilot 3000,Ipgee," Well that's your job, whether you like it or not. And it's my job to make you do your job whether I like it or not, which I do, very much! Now get to work! [Leela leaves. He puts his feet up on the desk.] Life is good!"
Space Pilot 3000,Fry, Why would a robot need to drink?
Space Pilot 3000,Bender," I don't need to drink, I can quit anytime I want! [He belches fire.] So they made you a delivery boy, huh? Man, that's as bad as my job."
Space Pilot 3000,Fry," Really? What do you do, Bender?"
Space Pilot 3000,Bender," I'm a bender. I bend girders, that's all I'm programmed to do."
Space Pilot 3000,Fry, You any good at it?
Space Pilot 3000,Bender," You kidding? I was a star! I could bend a girder to any angle  30 degrees, 32 degrees, you name it! [unsure] 31. [normal] But I couldn't go on living once I found out what the girders were for."
Space Pilot 3000,Fry, What?
Space Pilot 3000,Bender," Suicide booths! [He finishes his drink and swallows the bottle.] Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself."
Space Pilot 3000,Fry, Wait! You're the only friend I have!
Space Pilot 3000,Bender, You really want a robot for a friend?
Space Pilot 3000,Fry," Yeah, ever since I was six."
Space Pilot 3000,Bender," Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger."
Space Pilot 3000,Fry," Oh, no, it's the Cyclops! [He crouches down behind Bender.] Don't look! Don't look!"
Space Pilot 3000,Bender, I'm not looking!
Space Pilot 3000,Leela, This is officer 1B-DI requesting back-up.
Space Pilot 3000,Smitty, We'll be there in five minutes.
Space Pilot 3000,Bender, We can hide in here. It's free on Tuesdays!
Space Pilot 3000,Nimoy, Welcome to the Head Museum. I'm Leonard Nimoy.
Space Pilot 3000,Fry, Spock? Hey! Hey... Do the thing!
Space Pilot 3000,Nimoy, I don't do that anymore.
Space Pilot 3000,Fry, This is unbelievable! What do you heads do all day?
Space Pilot 3000,Nimoy, We share our wisdom with those who seek it. It's a life of quiet dignity.
Space Pilot 3000,Woman, Feeding time!
Space Pilot 3000,Leela," Hmm. [She looks around and sees Fry and Bender hiding behind a shelf in amongst other assorted heads.] I'm sorry, Fry, but I have to install your career chip."
Space Pilot 3000,Fry," Yeah, well, if you're sorry why are you doing it?"
Space Pilot 3000,Leela, It's my job. You gotta do what you gotta do! [Fry backs away and hits a shelf with the heads of US presidents on it.] Watch it!
Space Pilot 3000,Nixon, That's it! You just made my list!
Space Pilot 3000,Fry," Ow! Stop it! Down, boy! Bad president!"
Space Pilot 3000,Smitty," Alright, buddy, step away from the head!"
Space Pilot 3000,URL, I'm gonna get 24th century on his ass!
Space Pilot 3000,Leela," Please, officers, there's no need to use force."
Space Pilot 3000,URL," Let us handle this, weird-y."
Space Pilot 3000,Leela," Oh, come on, he's just a poor kid from the Stupid Ages."
Space Pilot 3000,Smitty," Keep your big nose out of this, eyeball!"
Space Pilot 3000,Leela, No-one makes fun of my nose.
Space Pilot 3000,URL, Damn!
Space Pilot 3000,Leela, You guys were totally out of control.
Space Pilot 3000,Smitty, It's our job. We're peace officers.
Space Pilot 3000,URL," Yeah, you know the law  You gotta do what you gotta do."
Space Pilot 3000,Bender," Oh, we're trapped!"
Space Pilot 3000,Fry," Wait a second. You're a bender, right? We can get out of here if you just bend the bars."
Space Pilot 3000,Bender," Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?"
Space Pilot 3000,Fry, Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
Space Pilot 3000,Bender, I'll have to check my program ... yep.
Space Pilot 3000,Leela, [from outside] Open up!
Space Pilot 3000,Fry," C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots."
Space Pilot 3000,Bender," You're full of crap, Fry! [He turns and a dangling wire catches on his antenna and electrocutes him.] You make a persuasive argument, Fry."
Space Pilot 3000,Fry," Come on, Bender! You can do it."
Space Pilot 3000,Bender, Can't ... I ... can't ... do ... it!
Space Pilot 3000,Fry, Yes!
Space Pilot 3000,Bender," You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!"
Space Pilot 3000,Fry, I don't know how you did that.
Space Pilot 3000,Leela, Wait!
Space Pilot 3000,Bender," [shouting] No, thanks."
Space Pilot 3000,Bender, Looks like one of us will have to bend this grate.
Space Pilot 3000,Fry, Good Lord! What is this?
Space Pilot 3000,Bender," It's the decaying ruins of Old New York. Welcome home, pal!"
Space Pilot 3000,Fry," It's my old neighbourhood. Man, this brings back a lot of memories."
Space Pilot 3000,Bender," Keep 'em to yourself, Pops!"
Space Pilot 3000,Fry, This is where I brought my girlfriend on our very first date.
Space Pilot 3000,Fry, My God! She's gone. Everyone I ever knew or cared about is gone.
Space Pilot 3000,Bender, Wait! There's someone you know!
Space Pilot 3000,Fry," Oh, can't you leave me alone? I'm miserable enough already."
Space Pilot 3000,Leela," Look, I know it's not much consolation but I understand how you feel."
Space Pilot 3000,Fry," No, you don't. I've got no home, no family--"
Space Pilot 3000,Bender, No friends.
Space Pilot 3000,Fry, My whole world is gone. You can't possibly understand what it feels like to be so alone.
Space Pilot 3000,Leela, I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
Space Pilot 3000,Fry," Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it. [He holds out his hand to Leela. She gets the implant gun ready. Fry cringes and looks away. The gun clicks but Fry feels nothing. He opens his eyes and sees Leela drop her own chip on the floor.] Your chip. What are you doing?"
Space Pilot 3000,Leela, Quitting.
Space Pilot 3000,Fry, Why?
Space Pilot 3000,Leela, Because I've always wanted to. I just never realised it before I met you.
Space Pilot 3000,Fry, What is the matter with you?
Space Pilot 3000,Bender, I just wanted to be part of the moment.
Space Pilot 3000,Leela, Hey! He stole my ring!
Space Pilot 3000,Bender," Sorry. [He hands Leela's ring back.] Well, that solves the mystery of the missing ring. This calls for a drink."
Space Pilot 3000,Leela, I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
Space Pilot 3000,Fry, Correction  We're unemployed but we have a doddering old relative to mooch off of.
Space Pilot 3000,Clark," [on TV] Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!"
Space Pilot 3000,Farnsworth, Who are you?
Space Pilot 3000,Fry, I'm your dear old Uncle Fry.
Space Pilot 3000,Farnsworth, I don't have an Uncle Fry.
Space Pilot 3000,Bender, You do now!
Space Pilot 3000,Farnsworth," By God, I am your nephew! This is absolutely incredible!"
Space Pilot 3000,Bender, Can we have some money?
Space Pilot 3000,Farnsworth," Oh, my, no."
Space Pilot 3000,Farnsworth, Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship! [He points in the general direction of a big green spaceship in a huge hangar next to the lab.] And here's where I keep assorted lengths of wire.
Space Pilot 3000,Fry, Whoa! A real live spaceship!
Space Pilot 3000,Farnsworth, I designed it myself. Let me show you some of the different lengths of wire I used.
Space Pilot 3000,Smitty," [from outside] Attention, job deserters! Come out with your hands up. We have you partially surrounded."
Space Pilot 3000,Fry, No!
Space Pilot 3000,Nixon, Get those bums!
Space Pilot 3000,Bender," Well, we're boned!"
Space Pilot 3000,Leela, Can't we get away in the ship?
Space Pilot 3000,Farnsworth, I suppose it is technically possible. Though I am already in my pyjamas.
Space Pilot 3000,Fry, I'll get us out of here.
Space Pilot 3000,Farnsworth, Can anyone drive stick?
Space Pilot 3000,Leela, I can. As long as I don't have to parallel park.
Space Pilot 3000,URL," If they try to take off, give 'em an ass-ful of laser."
Space Pilot 3000,Leela, Prepare for lift-off. Ten.
Space Pilot 3000,Crowd, [chanting] Nine!
Space Pilot 3000,Crowd, [chanting] Amania!
Space Pilot 3000,Crowd, [chanting] Seven!
Space Pilot 3000,Aliens, [chanting; in alien] Six.
Space Pilot 3000,Terry, [dramatically] Five!
Space Pilot 3000,Nimoy, Four.
Space Pilot 3000,Farnsworth, Three.
Space Pilot 3000,Bender, Two.
Space Pilot 3000,Leela, One!
Space Pilot 3000,Fry, Blast-off!
Space Pilot 3000,Nixon, Fire! Fire!
Space Pilot 3000,Smitty, I can't see nothing. Pretty though!
Space Pilot 3000,Fry," So, I guess, without jobs, we'll be fugitives forever."
Space Pilot 3000,Farnsworth," Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?"
Space Pilot 3000,Bender, New crew? W-What happened to the old crew?
Space Pilot 3000,Farnsworth, Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?
Space Pilot 3000,Fry, Yes! Yes! That's exactly the job I've always wanted!
Space Pilot 3000,Leela," Thanks for the offer, Professor, but we don't have the proper career chips."
Space Pilot 3000,Farnsworth," Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew."
Space Pilot 3000,Fry, This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?
Space Pilot 3000,Farnsworth," If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research."
Space Pilot 3000,Fry, Cool! What's my job gonna be?
Space Pilot 3000,Farnsworth, You will be responsible for ensuring that the cargo reaches its destination.
Space Pilot 3000,Fry," So, I'm gonna be a delivery boy?"
Space Pilot 3000,Farnsworth, Exactly!
Space Pilot 3000,Fry, Alright! I'm a delivery boy!
Space Pilot 3000,,
A Flight to Remember,Leela, That was the worst delivery ever.
A Flight to Remember,Fry," Yeah. I'm never going to another planet called ""Cannibalon""!"
A Flight to Remember,Bender," Me neither. [upbeat] Food was good, though."
A Flight to Remember,Farnsworth," Oh, great news, everyone."
A Flight to Remember,Bender, Shove it! We quit!
A Flight to Remember,Farnsworth, In that case I'll have to hire a new crew to go on our company vacation.
A Flight to Remember,Leela, Vacation?
A Flight to Remember,Bender, Alright!
A Flight to Remember,Fry, This is great! I haven't had time off since I was 21 through 24.
A Flight to Remember,Farnsworth, It's just my way of thanking you for not reporting my countless violations of safety and minimum wage laws.
A Flight to Remember,Bender," Aww, you!"
A Flight to Remember,Farnsworth," I've booked us all on the maiden voyage of the largest, most luxurious space cruise ship ever built. [He pulls out a brochure.] The Titanic!"
A Flight to Remember,Leela, Looks nice.
A Flight to Remember,Fry," Hey, uh, where's my suitcase? [His suitcase flies out from the tube and knocks him over.] Ow!"
A Flight to Remember,Poopenmeyer," As Mayor of New New York, it's my pleasure to introduce the honorary captain for the Titanic's maiden voyage. A man who single-handedly defeated the Retiree People of the Assisted Living Nebula  Zapp Brannigan!"
A Flight to Remember,Leela," Oh, God! Not Zapp Brannigan!"
A Flight to Remember,Zoidberg, You know Zapp Brannigan?
A Flight to Remember,Leela," Let's just say we've ""crossed paths""."
A Flight to Remember,Bender, Was that before or after you slept with him?
A Flight to Remember,Zapp," She's a beautiful ship, alright. Shapely ... seductive. I'm gonna fly her brains out. [The crowd applauds. Zapp holds up his hand and they stop.] And now, without further adieu, I christen this ship, Titanic."
A Flight to Remember,Zapp," Well, well, well! The Lady Leela. Take notes, Kif. You're about to witness the subtle waltz known as seduction. [Kif sighs. Leela stops as Zapp blocks her way.] So, trapped on a ship with me. What say you and I knock some very sensual boots?"
A Flight to Remember,Leela," It's tempting, but, uh, I have a fiancé now. Uh, hmm, uh, hmm, uh, we--, uh ... [She repeatedly looks at Farnsworth, Zoidberg and Fry, makes a quick decision, then pulls Fry forward.] Him! Fry, darling, meet Zapp Brannigan."
A Flight to Remember,Fry, Huh? [Leela eblows him.] Ooh! How do you do?
A Flight to Remember,Farnsworth," Ah, here's my stateroom."
A Flight to Remember,Bender," Come on, where is it?"
A Flight to Remember,Farnsworth," Now, Hermes, you and your lovely wife, LaBarbara, have the suite through there. And Dr. Zoidberg, your marble tank is on the other side."
A Flight to Remember,Fry," Man, first class seems nice!"
A Flight to Remember,Farnsworth, It'll seem even nicer once you've seen your room.
A Flight to Remember,Amy, Looks like we're on the Fiesta Deck.
A Flight to Remember,Leela, This is it.
A Flight to Remember,Fry, Well at least we get a window!
A Flight to Remember,Bender," Well, I'm tired of this room and everyone in it. If you'll excuse me, I'm gonna pop over to the casino for the next 135 hours!"
A Flight to Remember,Amy, I think I'll go and fill up on bisque at the buffet.
A Flight to Remember,Fry, I guess that just leaves you and your fake fianc´ ... all alone ... on a romantic cruise.
A Flight to Remember,Leela, Take it off or I'll break it off.
A Flight to Remember,Fry, OK!
A Flight to Remember,Zapp, Captain's inspection!
A Flight to Remember,Bender," Hmm. [Through his eyes we see his cheat unit predicting the dice. He chuckles.] I'm bettin' it all! [He empties the chips from his chest cabinet.] Come on, baby needs a new pair of feet!"
A Flight to Remember,Croupier, Snake eyes.
A Flight to Remember,Bender, No! My cheating unit malfunctioned! You gotta give me a do-over!
A Flight to Remember,Croupier," Sorry, the house limit is three do-overs. Next shooter."
A Flight to Remember,Bender," Gimmie you're biggest, strongest, cheapest drink."
A Flight to Remember,iZac, You got it!
A Flight to Remember,Bender, Allow me to introduce myself. I'm Bender.
A Flight to Remember,Countess, Charmed. I'm the Countess de la Roca. I was surprised to see another robot staying in first class. Most of the robots I meet are labourers.
A Flight to Remember,Bender," I assure you, I barely know the meaning of the word ""labour""."
A Flight to Remember,Countess," Oh, Mr. Bender!"
A Flight to Remember,Bender," Please, call me Bender."
A Flight to Remember,Countess," [embarrassed] Oh, goodness. I don't--"
A Flight to Remember,Zapp," Kif, I'm feeling the captain's itch."
A Flight to Remember,Kif," I'll get the powder, sir."
A Flight to Remember,Zapp," No, the itch for adventure! Prepare to change course."
A Flight to Remember,Kif," Sir, this is a leisure cruise. Our path was set by the travel agency."
A Flight to Remember,Zapp, That's for schoolgirls! Now here's a route with some chest hair.
A Flight to Remember,Kif, But that course leads directly through a swarm of comets.
A Flight to Remember,Zapp," Yes, comets! The icebergs of the sky. By jack-knifing from one to the next at breakneck speed we might just get some kind of gravity boost ... or something. [Kif sighs.] It's time to shove a jalapeño up this ships tailpipe. [He grabs the wheel.] Divert power from the shields, full speed ahead!"
A Flight to Remember,Amy," Oh, yeah!"
A Flight to Remember,Mrs. Wong, Amy! Hello!
A Flight to Remember,Amy, Mom? Dad? What are you doing here?
A Flight to Remember,Mr. Wong," We were planning on enjoying a relaxing vacation. But since you're here, we'll have to do some meddling."
A Flight to Remember,Mrs. Wong, We met the nicest boy in the cabin next to ours.
A Flight to Remember,Mr. Wong, He's not very ugly.
A Flight to Remember,Mrs. Wong, You should marry him! Or at least use him to conceive a grandchild for us.
A Flight to Remember,Mr. Wong, There he is at the buffet!
A Flight to Remember,Amy," Uh, he seems really nice but, well, I already have a boyfriend."
A Flight to Remember,Mrs. Wong, Really? Where is he?
A Flight to Remember,Mr. Wong, And why isn't he here right now fathering our grandchild?
A Flight to Remember,Amy, Uh...
A Flight to Remember,Leela," Well, our accommodations aren't great, but it sure is beautiful out here."
A Flight to Remember,Fry," Yeah, it's pretty romantic-- Uh, I mean platonic. Th-That sure is one platonic view!"
A Flight to Remember,Leela," Fry, just be quiet. I'm beginning to think this whole fake fiancé thing was a terrible, terrible--"
A Flight to Remember,Fry, Hmm? Mmm!
A Flight to Remember,Zapp," Leela, perhaps this is an awkward time but if things don't work out with this pipsqueak here ... [He puts his hand on her shoulder.] ... I just want you to know I'll be there to score you on the rebound."
A Flight to Remember,Leela," Uh, look, before you get any crazy ideas, that was for Zapp."
A Flight to Remember,Fry," Well, you got anything else for him?"
A Flight to Remember,Leela," Alright, can we try not to complicate this?"
A Flight to Remember,Amy," Mom, Dad, I'd like you to meet Fry, my boyfriend."
A Flight to Remember,Fry, Hmm? Mmm!
A Flight to Remember,Fry," See you later, wuvvums!"
A Flight to Remember,Leela, It would have been nice if you'd told me you were going out with Amy.
A Flight to Remember,Fry," I'm not going out with Amy. It's just to fool her parents. Hey, you're not jealous, are you?"
A Flight to Remember,Leela, What? No. No! Of course not!
A Flight to Remember,Fry," Good, 'cause I consider my fake relationship with you a lot more meaningful."
A Flight to Remember,Countess, Mind if I freshen up a bit before we go out?
A Flight to Remember,Bender, I was just about to suggest the same thing. [The Countess giggles then disappears into the bathroom. The sound of a power tool comes from the room. Bender rubs his hands with glee. He rummages through her drawers and sees a bracelet on the table. He picks it up and chuckles.] Pay dirt!
A Flight to Remember,Countess," Lovely, isn't it?"
A Flight to Remember,Bender, Yeah. But only 93% as lovely as you.
A Flight to Remember,Countess," Oh, Bender! Either that was a computing error or you're the most romantic robot I've ever met!"
A Flight to Remember,Bender," I don't get it, iZac; that bracelet had a diamond the size of a racoon's brain. Why couldn't I steal it?"
A Flight to Remember,iZac," It's obvious, Mr. B. You're in love."
A Flight to Remember,Bender," Oh, it's true. But we're star-crossed robots. She, a countess, built with a silver spoon in her mouth. And me, just a regular honest Joe."
A Flight to Remember,iZac," Hey, you gonna pay for those?"
A Flight to Remember,Bender," Hell, no!"
A Flight to Remember,iZac, Security to bar area. Security to bar area.
A Flight to Remember,Bender," Fellas, please. I'm in love!"
A Flight to Remember,iZac, Rough him up!
A Flight to Remember,Countess, What are you doing?
A Flight to Remember,iZac," This penniless chump was stealing drinks, ma'am."
A Flight to Remember,Countess," I see. Here you are, sir. [She hands iZac some money.] Keep the change."
A Flight to Remember,iZac, You got it!
A Flight to Remember,Zoidberg, Aha!
A Flight to Remember,Fry," Go, Professor!"
A Flight to Remember,Amy, Lean back more!
A Flight to Remember,Farnsworth, Ow!
A Flight to Remember,LaBarbara," Come on, Hermes, you could out-limbo all of these people!"
A Flight to Remember,Hermes," Don't be a dog heart, woman. You know I can't. Not after what happened."
A Flight to Remember,Announcer," [on loudspeaker] Now limbo-ing for the Earth team, Hermes Conrad."
A Flight to Remember,Boy," [shouting] You're my hero, Hermes! I'm gonna be just like you!"
A Flight to Remember,Hermes," No, boy, stop! It's too low! Your backbone can't take it!"
A Flight to Remember,Boy, I'm just like Hermes! I'm just like--
A Flight to Remember,Hermes, [screaming] Nooo!
A Flight to Remember,LaBarbara," There, there. Now you don't have to limbo if you don't want. It doesn't make you any less of a man."
A Flight to Remember,Farnsworth, Though it did get me some action!
A Flight to Remember,Hattie, I like a man who's flexible!
A Flight to Remember,Zapp," Your attention, please. As captain of this vessel, the terrible burden of naming a limbo contest winner is mine and mine alone."
A Flight to Remember,Kif, Shouldn't you be steering between the comets?
A Flight to Remember,Zapp," And the winner is, Leela!"
A Flight to Remember,Leela, But I didn't even limbo.
A Flight to Remember,Zapp," No matter. I know from personal experience how horizontal you can get. As your reward, you and that hairpile are invited to dine at the captain's table this evening."
A Flight to Remember,Bender," Well, now you know. I'm not actually rich. I'm a fraud. A poor, lazy, sexy fraud. This isn't even a real bow-tie, it's magnetic."
A Flight to Remember,Countess," Bender, I don't care whether you have money. I love you for your artificial intelligence and your sincerity simulator."
A Flight to Remember,Bender, You do? Really?
A Flight to Remember,Zapp," I like your style, Fry. You remind me of a young me. Not much younger, mind you. Perhaps even a couple of years older."
A Flight to Remember,Fry," Thank you, sir."
A Flight to Remember,Zapp," As a gentleman, I must warn you. If you so much as glance at another woman, I'll be all over Leela like a fly on a pile of very seductive manure."
A Flight to Remember,Fry," Well, rest assured, Leela's the only girl for me."
A Flight to Remember,Amy," Hey, Fry."
A Flight to Remember,Leela, Amy!
A Flight to Remember,Amy, Leela!
A Flight to Remember,Zapp," Ah, the family Wong. Our party is complete."
A Flight to Remember,Leela, [whispering] What are we gonna do? Fry can't pretend to be both our boyfriends.
A Flight to Remember,Fry, [whispering] Sure I can. I learned how to handle delicate social situations from a little show called Three's Company.
A Flight to Remember,Zapp, I'd like to impose a toast on the happy couple. Down the hatch!
A Flight to Remember,Mrs. Wong," Hear, hear! Now let's have a kiss!"
A Flight to Remember,Zapp," Yes, Fry. Plant one on your woman."
A Flight to Remember,Fry," Um, let me think. Come and knock on our door, nuh, nuh, nuh, nuh, nuh, nuh. Uh, Mr. Roper--"
A Flight to Remember,Mr. Wong, What's the hold up? Kiss my daughter already!
A Flight to Remember,Farnsworth," Wait, I'm confused. Now tell me, Fry, which one of these ladies are you involved with?"
A Flight to Remember,Fry, Uh...
A Flight to Remember,Kif," Captain, may I have a word with you?"
A Flight to Remember,Zapp, No.
A Flight to Remember,Kif," It's an emergency, sir."
A Flight to Remember,Zapp," Come back when it's a catastrophe. [There is a crash and the ship shakes. Zapp reluctantly stands up.] Oh, very well."
A Flight to Remember,Amy," Well, with Zapp gone and my parents still here, I suggest Fry give me a nice, convincing kiss."
A Flight to Remember,Fry," Ah, now there's something we can all enjoy."
A Flight to Remember,Kif," Sir, remember your course correction?"
A Flight to Remember,Zapp, No.
A Flight to Remember,Kif, Well it's proving somewhat more suicidal than we'd initially hoped.
A Flight to Remember,Zapp," Kif, old friend, I don't know which disgusts me more  Your cowardice or your stupidity! We'll simply set a new course for that empty region over there. Near that black-ish hole-ish thing."
A Flight to Remember,Fry," Hey, Leela, why'd you run off from dinner?"
A Flight to Remember,Leela, I didn't run off. I had plenty of time to finish eating and stroll away while you were kissing Amy.
A Flight to Remember,Fry," Oh, look, I'm not actually interested in her if that's what's bothering you."
A Flight to Remember,Leela," Oh, are you sure? I mean, she has two eyes, you have two eyes."
A Flight to Remember,Fry," I know, we seem like a perfect match, but I just don't feel that way about her."
A Flight to Remember,Leela, Nice nebula.
A Flight to Remember,Fry, Yeah.
A Flight to Remember,Leela, Look's like everybody's got somebody. Except me.
A Flight to Remember,Fry, And me.
